CaseNumber,PRSM,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Months.of.History,Loan.Type,FICO,Years.In.Business,Num.of.Credit.Lines,Satisfied.Accounts,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Years.in.File,Num.of.Legal.Items,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Male.Population.in.Zip.Code,Female.Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,Median.Age.in.Zip.Code,Time.Zone,Bus.Establishments.in.Zip.Code,Employment.in.Zip.Code,Annual.Payroll.in.Zip.Code,PO.Residential.Count.in.Zip,PO.Business.Count.in.Zip,Delivery.Total,State,ISO.Name,Loan.Size.Class
68015323,1.097609895,26268,38600,47864,12.5,1142.56,25325.2,15929,2,R,681,18,27,25,9,0,2,Corporation,1,0,0,0,75,Auto Repair Services and Parking,5582,2687,2895,142100,58153,44,5,90,1033,27225,2222,40,2262,MI,F,S3
114011874,0.764464352,5120,11400,13395,12.5,1231.2,10311.42,12183.3333,3,O,587,3,19,10,9,5,4,Corporation,7,0,0,0,59,Miscellaneous Retail Stores,40157,18878,21279,93100,35211,35.8,5,808,12840,352452,16016,1089,17105,VA,E,S2
342215562,0.948617512,8234,14000,17360,12.5,1657.6,9050,27810,2,R,612,3,27,23,12,0,4,Sole Proprietorship,2,3,0,0,72,Personal Services,25954,12447,13507,174600,53438,35.5,6,969,16531,637966,8489,929,9418,IL,B,S2
451615429,0.917396979,9840,17300,21452,12.5,2560.4,11377.82,12214.2857,7,O,545,5,20,16,10,2,2,Corporation,3,1,5,0,59,Miscellaneous Retail Stores,32622,15776,16846,158900,69527,36.6,5,714,9938,322930,13271,398,13669,GA,B,S2
366016696,0.668756999,1493,3800,4465,12.5,256.5,5101.64,5101.40389,1,R,568,12,2,0,1,1,1,Sole Proprietorship,3,1,5,0,55,Automotive Dealers and Service Stations,20832,9776,11056,79800,29668,42.7,5,636,5997,140458,8568,793,9361,FL,E,S1
372512979,1.109243697,68640,104000,123760,12.5,14352,83207.88,134831.333,12,O,696,7,19,17,9,2,0,Corporation,7,1,1,0,52,Building Materials and Hardware,24892,12472,12420,126300,41586,34,5,1197,31537,996665,9137,1276,10413,GA,B,S4
425313541,1.083234043,3182,5000,5875,12.5,540,4484.52,4484.5,4,O,630,21,13,9,5,1,3,Sole Proprietorship,5,0,0,0,72,Personal Services,8864,4283,4581,148900,58388,40.7,5,543,5543,148913,4456,479,4935,KY,E,S1
219114781,0.742016807,9713,22000,26180,10,2428.8,21510,46953,2,R,547,12,18,13,13,4,1,Limited Liability Company,14,0,0,0,56,Apparel and Accessory Stores,10367,4896,5471,193500,62742,44.5,5,561,5921,183469,4637,556,5193,CT,B,S3
450719214,1.092183623,8803,13000,16120,12.5,1924,8915.06,14365,4,O,657,1,9,4,2,2,3,Sole Proprietorship,14,0,1,0,53,General Merchandise Stores,11148,5585,5563,122200,34980,36.1,5,188,4904,215680,4566,187,4753,TN,H,S2
404018531,0.986414931,22727,38400,46080,12.5,3225.6,25232.46,25230.164,6,O,700,11,43,32,26,0,11,Limited Liability Company,9,0,1,0,58,Eating and Drinking Places,20157,9393,10764,221400,56058,33.3,5,1771,30888,1288495,7520,1603,9123,MD,B,S3
284915595,1.094505495,8466,13000,15470,12.5,1435.2,15196,18138,4,R,510,4,40,12,14,23,5,Corporation,4,3,1,3,83,Social Services,6490,3266,3224,111800,47758,36,5,150,1143,27488,2793,63,2856,NC,B,S2
59818316,0.710053191,13349,32000,37600,12.5,3780,28606.72,2653.66379,1,O,516,6,18,10,5,2,6,Limited Liability Company,22,2,0,0,54,Food Stores,2289,1128,1161,60900,31987,34.7,6,34,691,22939,854,22,876,LA,D,S3
435619597,0.95506383,100998,180000,211500,12.5,4860,209841.92,209842,6,R,641,36,23,21,6,0,2,Corporation,27,11,1,9,72,Personal Services,17310,8341,8969,1000001,40932,36.4,5,7084,120608,5436960,11550,7900,19450,NY,A,S4
148210867,0.739739841,18340,42200,49585,12.5,4557.6,38012.88,31412.375,1,O,488,17,32,18,20,8,6,Corporation,1,4,6,1,54,Food Stores,50460,24643,25817,170200,60378,36.7,6,1878,31766,1181354,19769,1749,21518,IL,OTHER,S3
445818273,0.916806723,10910,20000,23800,12.5,2208,17356.86,22381,4,R,508,4,15,11,5,2,2,Sole Proprietorship,1,2,2,0,54,Food Stores,46794,21058,25736,53200,27436,33.5,5,540,8397,215538,19215,1064,20279,PA,B,S2
132511736,1.028158632,13948,22800,27132,12.5,2463.64,17986.92,17987,4,O,507,29,16,11,10,2,3,Corporation,4,8,0,4,59,Miscellaneous Retail Stores,23249,11477,11772,133900,60039,36.3,5,520,5381,151711,8931,450,9381,VA,OTHER,S3
166615794,0.923378466,17902,33000,38775,10,2450.26,40529.38,19992,1,R,600,3,30,19,21,0,11,Corporation,14,3,7,0,72,Personal Services,38940,19228,19712,102800,36790,26.8,6,1436,26510,637652,15253,1477,16730,MN,OTHER,S3
238316225,0.768448864,20941,45800,54502,12.5,4948.88,36057.88,36058,4,O,528,2,18,11,13,4,3,Limited Liability Company,1,3,1,1,58,Eating and Drinking Places,28628,14180,14448,99000,34909,32.1,6,581,10929,361074,10993,743,11736,WI,OTHER,S4
419811343,0.905828138,16708,31000,36890,12.5,4278,24512.48,24512.6667,3,O,624,8,22,16,18,0,6,Limited Liability Company,1,0,1,0,72,Personal Services,31822,14835,16987,91600,38285,36,5,853,16688,605032,12836,724,13560,VA,B,S3
194411070,0.948739496,11290,20000,23800,12.5,2760,16486.98,16487,4,O,543,1,43,10,27,13,20,Sole Proprietorship,1,0,0,0,72,Personal Services,50781,23552,27229,167600,36025,30.6,5,565,6639,210931,15935,738,16673,MA,B,S2
149318215,0.779114342,8841,17800,22695,12.5,3724.64,11655.46,14178.2857,7,O,573,1,15,12,2,3,0,Sole Proprietorship,1,0,1,0,17,Construction-Special Trade Contractors,55496,28098,27398,99200,33704,35.4,5,1822,33208,967246,20290,1894,22184,MD,B,S2
389510228,0.861620235,18804,35200,43648,17.5,4167.68,20944,42918,1,R,533,49,21,6,13,4,11,Corporation,2,1,2,1,72,Personal Services,14530,6754,7776,94400,44615,41.1,5,652,11096,376802,5698,526,6224,PA,B,S3
176818264,0.979831933,17490,30000,35700,12.5,2484,27137.2,27137.6,5,R,632,16,16,13,8,0,3,Corporation,9,0,0,0,75,Auto Repair Services and Parking,43954,21109,22845,80800,38018,39.6,5,789,16471,504379,18816,919,19735,NY,F,S3
196913953,1.090124123,42420,65400,77826,12.5,7063.12,51608.66,51608.6667,3,O,635,6,40,34,22,0,6,Corporation,6,3,0,0,75,Auto Repair Services and Parking,43803,21709,22094,81700,32969,33.1,5,1372,22751,765456,17516,1738,19254,FL,OTHER,S4
300412218,1.231610942,10130,14000,16450,7.5,756,21008.62,21004.8824,6,R,565,16,19,11,4,2,6,Corporation,5,0,2,0,72,Personal Services,6161,2927,3234,106200,37150,38.9,5,202,2542,43630,2371,156,2527,FL,OTHER,S2
8211661,0.854030078,30807,61400,72145,12.5,6631.2,59223.5,59223.6667,6,O,589,2,37,32,16,0,5,Limited Liability Company,1,1,0,0,54,Food Stores,38874,19326,19548,141400,60609,31.4,5,1851,41276,1364392,18478,1440,19918,GA,OTHER,S4
12610497,1.242241827,11969,16400,19270,12.5,1771.2,14805.36,14806,3,O,795,18,22,22,18,0,0,Corporation,19,2,5,0,53,General Merchandise Stores,16176,7688,8488,79000,31791,37.5,6,398,7610,190128,6898,523,7421,TN,E,S2
71212270,0.987121476,19852,33800,40222,17.5,3731.52,19450,16287.6,5,R,593,5,20,17,6,0,3,Sole Proprietorship,3,1,0,0,59,Miscellaneous Retail Stores,15271,7191,8080,69800,30345,31.3,6,378,6205,124091,6812,545,7357,LA,B,S3
90313817,0.965447429,7153,12400,14818,12.5,1809.78,11246.66,18433.4545,11,O,594,16,41,40,23,1,0,Corporation,15,4,3,0,59,Miscellaneous Retail Stores,24929,11882,13047,64100,31534,38.9,6,932,15943,445024,9914,971,10885,IL,H,S2
340117315,0.418501388,3393,13800,16215,12.5,1304.1,12459,11955.5,4,O,469,12,14,7,10,2,5,Sole Proprietorship,3,0,0,0,72,Personal Services,1009,583,426,113000,9400,40.6,5,768,20851,989115,742,542,1284,NY,OTHER,S2
15216490,0.906682028,2361,4200,5208,12.5,497.28,3518,3990,1,R,567,2,39,30,22,0,9,Corporation,1,3,2,0,58,Eating and Drinking Places,9667,4844,4823,87800,36852,42.4,5,381,4769,109808,3348,295,3643,PA,B,S1
340911136,0.903457447,6794,12800,15040,12.5,1512,9913.26,9984,7,O,608,10,37,33,21,0,4,Sole Proprietorship,3,0,2,0,75,Auto Repair Services and Parking,40491,19382,21109,68900,28874,38.4,5,1263,20117,467614,12033,1316,13349,WV,D,S2
90410328,1.140083632,3817,5400,6696,12.5,1198.8,4270.92,4271,4,O,612,18,30,26,14,0,4,Sole Proprietorship,11,0,1,0,72,Personal Services,29492,13777,15715,203100,66979,37.6,5,622,43675,0,9584,569,10153,CT,B,S1
412014871,0.745574826,8340,18800,22372,10,2594.4,21726.8,14002.8608,13,O,623,5,16,10,9,1,5,Limited Liability Company,1,0,0,0,75,Auto Repair Services and Parking,42382,22595,19787,40600,24631,25.2,6,660,17262,575039,12637,1201,13838,WI,B,S2
307117828,1.128138298,21209,32000,37600,7.5,3024,54188.48,22297.393,1,O,695,1,46,23,23,1,1,Limited Liability Company,17,0,0,0,54,Food Stores,1786,864,922,84600,36689,33.7,6,24,211,4602,768,17,785,AL,OTHER,S3
155011024,0.967332569,23630,39400,48856,12.5,5831.2,25918.48,25918.5,8,O,556,2,22,15,9,1,6,Corporation,2,0,1,0,58,Eating and Drinking Places,21697,10588,11109,188600,57113,38.4,5,826,10022,364676,8978,592,9570,NJ,B,S3
203212456,0.749053596,15038,33600,40152,12.5,2016,32403.02,32402.5663,4,O,469,3,35,25,23,5,5,Corporation,2,2,0,0,58,Eating and Drinking Places,63001,30131,32870,436000,53313,33.7,5,1556,15555,532804,24202,1900,26102,NY,A,S3
448918924,0.919892473,1711,3000,3720,12.5,666,3118.28,3118.28571,7,O,572,3,14,8,1,5,1,Sole Proprietorship,2,1,0,0,72,Personal Services,30115,14369,15746,68000,35950,31.8,5,268,2451,55691,9798,346,10144,MI,B,S1
64812995,0.882907786,9103,17700,20620.5,12.5,1412.46,15900.14,17601.2,5,O,481,2.1,45,33,34,4,8,Corporation,1,0,0,0,59,Miscellaneous Retail Stores,34359,16774,17585,146700,52327,37.9,5,1184,11536,504683,12172,641,12813,FL,A,S2
450211532,0.510825507,5167,17000,20230,12.5,469.2,15914,16000.5,4,R,414,12,26,6,8,15,5,Sole Proprietorship,2,3,10,0,75,Auto Repair Services and Parking,23900,11998,11902,129800,48157,38.8,5,1332,13405,362967,11675,1197,12872,FL,A,S2
110112367,0.425690276,1773,7000,8330,12.5,579.6,6474,7976,3,O,421,40,13,3,5,8,2,Sole Proprietorship,13,8,3,3,72,Personal Services,25001,10947,14054,94900,19127,28.8,5,197,1747,43437,7626,373,7999,NJ,A,S1
194719311,1.090489172,28802,42600,52824,12.5,6304.8,28007.34,28007.3333,3,O,637,3,33,31,18,0,2,Corporation,1,3,3,0,55,Automotive Dealers and Service Stations,72138,33663,38475,132300,20606,27.2,5,625,5925,134522,23808,1041,24849,NY,B,S4
22413216,0.965490196,29544,51000,61200,12.5,3557.24,32837.36,32839.8943,3,O,665,8,36,29,21,0,7,Limited Liability Company,30,2,9,0,80,Health Services,9222,4444,4778,268900,62025,38.5,5,329,3475,155904,3183,156,3339,NY,C,S4
123315687,1.26093617,11112,15000,17625,12.5,810,19062,20822,3,R,589,17,29,27,17,0,2,Sole Proprietorship,5,0,1,0,58,Eating and Drinking Places,32253,15396,16857,94100,33121,33.4,5,1172,19186,505359,11137,1166,12303,NY,OTHER,S2
347715555,0.92770793,19185,35200,41360,17.5,1900.8,22190,20512.8,5,R,636,27,41,39,32,0,2,Corporation,15,9,2,0,27,Printing Publishing and Allied Industries,9808,4454,5354,146500,37929,51.3,5,369,3811,136254,5893,374,6267,MA,OTHER,S3
193810101,0.452273217,16792,62400,74256,12.5,8611.2,49200.56,49201.3333,3,O,510,28,28,23,17,1,4,Limited Liability Company,12,2,3,0,79,Amusement and Recreational Services,40491,19382,21109,68900,28874,38.4,5,1263,20117,467614,12033,1316,13349,WV,B,S4
305711196,1.192855615,27883,37600,46750,12.5,4100.26,26358,36056.5,4,R,493,16,36,21,23,1,14,Corporation,14,3,2,1,58,Eating and Drinking Places,538,318,220,79000,42500,31.3,5,7,63,1281,126,2,128,NY,H,S3
390811496,1.011171401,12672,20800,25064,12.5,3592.68,16259.34,16654,3,O,680,7,21,16,16,0,5,Corporation,0,0,1,0,59,Miscellaneous Retail Stores,18751,10749,8002,1000001,41002,37.9,5,6278,141633,9409248,15194,6018,21212,NY,H,S3
25513725,0.715968889,6973,16300,19478.5,12.5,978,14632,14632,4,O,508,2,16,9,7,3,4,Limited Liability Company,3,0,1,0,82,Educational Services,16979,8167,8812,173500,75091,39,6,334,5021,152458,5225,227,5452,MN,A,S2
312514093,0.725739247,10799,24800,29760,12.5,1488,23867.1,23867,4,O,580,22,47,11,11,0,4,Sole Proprietorship,18,2,9,0,59,Miscellaneous Retail Stores,46107,23169,22938,87400,38215,37.4,6,1246,20357,539585,19033,1462,20495,IN,OTHER,S3
402218480,1.137349288,124517,184000,218960,12.5,25392,248553.3,238778.667,6,O,609,30,29,22,18,0,7,Corporation,30,3,8,0,57,Home Furniture and Furnishings Stores,36736,18147,18589,162600,54892,34.4,6,1205,23726,976687,13272,1157,14429,IL,B,S4
122411264,1.340221774,2659,3200,3968,12.5,710.4,3401.3,3400.66667,3,O,648,19,48,48,27,0,0,Corporation,17,0,4,0,80,Health Services,6603,3207,3396,95000,33666,29.4,6,367,6808,173404,2826,411,3237,MN,B,S1
356111984,0.825390071,46552,94000,112800,12.5,5264,62164,99870.6667,3,R,633,16,15,13,11,0,2,Limited Liability Company,2,4,7,0,52,Building Materials and Hardware,46706,22854,23852,93700,36193,34,5,1119,21781,681497,15093,1097,16190,PA,B,S4
369917921,0.595889311,11133,31400,37366,10,4333.2,32542.12,34303,10,O,533,4,19,9,10,1,9,Corporation,3,8,1,8,59,Miscellaneous Retail Stores,61414,28726,32688,1000001,78066,38.9,5,2001,21981,652461,27731,1162,28893,NY,B,S3
269812581,0.780877684,20908,45000,53550,12.5,1242,54788.04,54788.3333,6,R,573,12,27,18,21,1,8,Sole Proprietorship,12,0,1,0,58,Eating and Drinking Places,20800,9717,11083,137000,52121,42.5,5,1044,20059,717665,8033,986,9019,NJ,F,S4
197310030,0.933893557,6668,12000,14280,12.5,1324.8,17510.2,17580,1,R,618,29,12,5,5,1,3,Corporation,7,5,0,4,58,Eating and Drinking Places,38066,18876,19190,92300,47825,34.8,5,683,7891,238873,18880,1003,19883,GA,B,S2
244414824,1.234196291,61832,84200,100198,12.5,9295.68,69838,63021.2,5,R,653,11,37,28,21,6,3,Limited Liability Company,4,1,1,0,57,Home Furniture and Furnishings Stores,24023,12009,12014,126100,56133,31.8,6,425,5506,151813,11163,489,11652,LA,B,S4
415419526,1.150884495,4424,6200,7688,12.5,1192.88,10439.72,12423.8406,4,R,537,3,30,17,21,4,9,Corporation,5,1,0,0,53,General Merchandise Stores,36736,18147,18589,162600,54892,34.4,6,1205,23726,976687,13272,1157,14429,IL,B,S1
111716544,0.983277733,23285,39800,47362,7.5,4393.92,71666.34,4062,1,R,560,19,52,33,32,2,17,Corporation,1,1,0,1,58,Eating and Drinking Places,55760,26964,28796,161100,62258,28.3,5,1194,36750,0,17970,1002,18972,DE,B,S3
104913498,0.397446809,1401,6000,7050,12.5,405,6237.54,12070,1,R,463,3,27,10,13,14,3,Limited Liability Company,3,2,3,0,57,Home Furniture and Furnishings Stores,27057,12374,14683,86600,29349,25.9,5,1554,21274,662193,9754,1620,11374,FL,D,S1
377619395,1.035014006,5912,9600,11424,12.5,1324.8,8849.08,8849,4,O,644,2,33,32,20,0,1,Sole Proprietorship,1,2,0,0,72,Personal Services,11453,5384,6069,66400,31727,40.4,6,225,3982,109983,4617,282,4899,IL,B,S2
355919035,0.953241203,9651,16529.64,20248.81,12.5,1438.08,11021.34,11021.3333,3,O,626,6,29,28,17,0,1,Limited Liability Company,0,0,0,0,72,Personal Services,42961,20733,22228,74300,26985,32.3,5,1247,30100,817451,14423,1576,15999,FL,OTHER,S2
134516240,0.879708228,20623,39400,46886,12.5,1087.44,35464,35936,1,R,663,32,7,3,2,0,4,Partnership,21,2,3,1,56,Apparel and Accessory Stores,20079,9491,10588,59900,27448,37.2,6,438,5858,142273,7416,754,8170,LA,A,S3
106419283,0.675252101,16071,40000,47600,12.5,2158.32,42146.16,3112,1,R,515,15,49,30,30,1,10,Corporation,1,0,0,0,50,Wholesale Trade-Durable Goods,7991,3852,4139,66700,34891,40.5,6,296,3661,87866,3280,291,3571,MN,OTHER,S3
93212925,1.146112295,30129,42400,52576,10,5020.16,59422.48,43080,1,R,623,9,9,6,3,1,2,Corporation,1,0,2,0,57,Home Furniture and Furnishings Stores,27939,13231,14708,115100,37010,65.6,5,334,6416,167950,14035,371,14406,FL,B,S4
434016095,0.775636212,4648,10200,11985,12.5,963.9,9815.54,12526.5714,7,O,491,3,34,24,27,2,8,Limited Liability Company,7,1,1,0,53,General Merchandise Stores,45482,22911,22571,105800,46699,31.5,5,372,2572,53893,13435,108,13543,FL,OTHER,S2
435014296,1.056747558,14283,21800,27032,12.5,3226.4,14375.1,14375,4,O,641,19,46,45,27,1,0,Corporation,18,5,5,0,76,Miscellaneous Repair Services,28012,13669,14343,70500,35397,39.5,6,716,13208,420688,11979,707,12686,MN,B,S3
214119389,0.861675579,4834,8800,11220,12.5,1841.4,5847.3,5847.33333,3,O,500,3,23,16,12,4,3,Corporation,2,1,0,0,58,Eating and Drinking Places,16714,7786,8928,169400,59105,44.9,6,502,9530,480336,6317,533,6850,IL,B,S2
166216347,1.109092286,7325,11100,13209,12.5,1531.8,9181.96,9181.6,5,O,671,7,29,27,22,0,2,Corporation,12,2,0,1,55,Automotive Dealers and Service Stations,18289,8724,9565,165900,60152,36,5,801,19209,840109,6361,493,6854,OH,B,S2
88516500,1.089193548,13506,20000,24800,12.5,3182,13047.58,13534.3333,6,O,658,1,11,9,6,0,2,Corporation,1,0,1,0,58,Eating and Drinking Places,38515,18092,20423,99500,35381,34.4,5,1993,26875,909867,12018,1339,13357,FL,H,S2
239016485,0.741200828,3043,6900,8211,12.5,952.2,5451.32,10514,3,O,530,12,26,11,13,8,7,Corporation,6,2,1,0,56,Apparel and Accessory Stores,20510,9596,10914,91100,30642,39.1,5,1813,25015,1129582,10229,1866,12095,FL,B,S1
450518875,1.084247967,10669,16000,19680,10.5,2452.8,12399.18,12399.3333,3,O,599,5,24,16,14,5,3,Sole Proprietorship,2,0,1,0,58,Eating and Drinking Places,30337,14788,15549,124500,55439,40.3,5,838,16329,533127,11449,691,12140,PA,OTHER,S2
243819066,1.180072652,5685,8200,9635,12.5,442.8,7930,6981.6,5,R,716,28,29,29,16,0,0,Corporation,5,2,4,0,79,Amusement and Recreational Services,7308,3972,3336,438700,65617,32.7,7,818,11243,232839,1348,49,1397,VT,OTHER,S1
245511018,1.03202765,8958,14000,17360,12.5,2227.4,8899.52,8899.53846,13,O,655,2,63,56,56,2,5,Corporation,5,6,4,2,56,Apparel and Accessory Stores,45482,22911,22571,105800,46699,31.5,5,372,2572,53893,13435,108,13543,FL,H,S2
98311875,0.929091224,21449,38800,46172,12.5,4283.52,37858,37858,1,R,501,2,23,7,8,5,13,Corporation,10,2,1,0,58,Eating and Drinking Places,21616,10391,11225,73700,18100,28.5,5,1086,16298,477447,8051,1794,9845,GA,B,S3
182418993,0.666965286,2978,7600,8930,12.5,410.4,6890,6889.96421,3,R,544,1,12,2,4,6,4,Sole Proprietorship,6,8,3,2,79,Amusement and Recreational Services,84821,40705,44116,204000,59560,37.9,5,1698,20725,598399,21333,1360,22693,NY,OTHER,S1
271112132,0.39929972,2851,11200,14280,12.5,2343.6,7454.42,7454.66667,6,O,545,3,18,2,7,7,9,Sole Proprietorship,1,1,0,1,53,General Merchandise Stores,1084,533,551,144100,46083,36.8,5,44,244,6104,289,27,316,NY,B,S2
204518335,0.83137931,74741,146800,179800,12.5,23408,151170.26,249501,2,R,529,14,34,26,20,2,6,Corporation,1,1,2,0,55,Automotive Dealers and Service Stations,45946,23830,22116,66900,31000,32.3,5,675,12825,409194,15315,820,16135,MI,H,S4
